priority_score,entity_id,entity_name,gap_count,evidence_gaps
19,inst-royal-shakespeare-company,Royal Shakespeare Company,19,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-royal-museums-greenwich,Royal Museums Greenwich,19,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-royal-lyceum-theatre-edinburgh,Royal Lyceum Theatre Edinburgh,15,exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-royal-exchange-theatre,Royal Exchange Theatre,19,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-royal-college-of-music,Royal College of Music,19,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-royal-college-of-art,Royal College of Art,19,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-royal-birmingham-conservatoire,Royal Birmingham Conservatoire,19,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-royal-ballet-and-opera,Royal Ballet and Opera,19,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-royal-academy-of-music,Royal Academy of Music,19,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-norwich-university-of-the-arts,Norwich University of the Arts,19,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-northern-ballet,Northern Ballet,19,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-natural-history-museum,Natural History Museum,19,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-national-theatre,National Theatre,19,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-national-museums-scotland,National Museums Scotland,15,exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-national-museums-northern-ireland,National Museums Northern Ireland,15,exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-national-museums-liverpool,National Museums Liverpool,19,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-national-gallery,National Gallery,19,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-liverpool-everyman-playhouse,Liverpool Everyman & Playhouse,19,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-imperial-war-museums,Imperial War Museums,19,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-guildhall-school-of-music-drama,Guildhall School of Music & Drama,19,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-goldsmiths-university-of-london,"Goldsmiths, University of London",19,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-falmouth-university,Falmouth University,19,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-english-national-opera,English National Opera,19,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-courtauld-institute-of-art,Courtauld Institute of Art,19,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-citizens-theatre,Citizens Theatre,15,exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-central-saint-martins,Central Saint Martins,19,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-british-museum,British Museum,19,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
19,inst-arts-university-bournemouth,Arts University Bournemouth,19,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
16,inst-royal-northern-college-of-music,Royal Northern College of Music,16,chair; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
16,inst-opera-north,Opera North,16,chair; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
16,inst-bristol-old-vic,Bristol Old Vic,16,chair; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
16,inst-birmingham-royal-ballet,Birmingham Royal Ballet,16,chair; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results
