entity_id,public_name,legal_identity,what_is_it,legal_power_basis,money_in,money_out,decision_authority,judgement_mechanism,executive_personnel,governing_personnel,appointment_routes,scrutiny_accountability,capacity_evidence,strategy_claim,operational_commitment,measurable_target,committed_budget,outputs,results,evidence_gaps,source_ids,last_verified
inst-royal-exchange-theatre,Royal Exchange Theatre,Not yet evidenced,"Theatre institution in Manchester, England. Detailed function statement not yet evidenced.",Not yet evidenced,Not yet reconciled — no funding percentage or amount inferred,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet quantified — no capacity adjective assigned,Not yet ingested,Not yet ingested,No measurable target identified because strategy has not yet been ingested,No claim-linked budget identified because strategy has not yet been ingested,Not yet ingested,Not yet evidenced,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,2026-09-20
inst-bristol-old-vic,Bristol Old Vic,Bristol Old Vic and Theatre Royal Trust Ltd,"Theatre institution in Bristol, England. Detailed function statement not yet evidenced.",Not yet evidenced,Arts Council England; local/public support; earned income; philanthropy,Not yet evidenced,Not yet evidenced,Not yet evidenced,Nancy Medina — Artistic Director,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet quantified — no capacity adjective assigned,Not yet ingested,Not yet ingested,No measurable target identified because strategy has not yet been ingested,No claim-linked budget identified because strategy has not yet been ingested,Not yet ingested,Not yet evidenced,chair; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,2026-09-20
inst-liverpool-everyman-playhouse,Liverpool Everyman & Playhouse,Not yet evidenced,"Theatre institution in Liverpool, England. Detailed function statement not yet evidenced.",Not yet evidenced,Not yet reconciled — no funding percentage or amount inferred,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet quantified — no capacity adjective assigned,Not yet ingested,Not yet ingested,No measurable target identified because strategy has not yet been ingested,No claim-linked budget identified because strategy has not yet been ingested,Not yet ingested,Not yet evidenced,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,2026-09-20
inst-royal-lyceum-theatre-edinburgh,Royal Lyceum Theatre Edinburgh,Royal Lyceum Theatre Company Ltd,"Theatre institution in Edinburgh, Scotland. Detailed function statement not yet evidenced.",Not yet evidenced,Creative Scotland; City of Edinburgh Council; earned income; philanthropy,Not yet evidenced,Not yet evidenced,Not yet evidenced,James Brining — Artistic Director,Chair: Tari Lang,Not yet evidenced,Not yet evidenced,Not yet quantified — no capacity adjective assigned,Not yet ingested,Not yet ingested,No measurable target identified because strategy has not yet been ingested,No claim-linked budget identified because strategy has not yet been ingested,Not yet ingested,Not yet evidenced,exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,2026-09-20
inst-citizens-theatre,Citizens Theatre,Citizens Theatre Ltd,"Theatre institution in Glasgow, Scotland. Detailed function statement not yet evidenced.",Not yet evidenced,Creative Scotland; Glasgow City Council; earned income; philanthropy,Not yet evidenced,Not yet evidenced,Not yet evidenced,Dominic Hill — Artistic Director & Joint CEO,Chair: Alison Newton,Not yet evidenced,Not yet evidenced,Not yet quantified — no capacity adjective assigned,Not yet ingested,Not yet ingested,No measurable target identified because strategy has not yet been ingested,No claim-linked budget identified because strategy has not yet been ingested,Not yet ingested,Not yet evidenced,exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,2026-09-20
inst-lyric-theatre-belfast,Lyric Theatre Belfast,Lyric Theatre (NI),"Theatre institution in Belfast, Northern Ireland. Detailed function statement not yet evidenced.",Not yet evidenced,Arts Council of Northern Ireland; earned income; philanthropy,Not yet evidenced,Not yet evidenced,Not yet evidenced,Jimmy Fay — Executive Producer,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet quantified — no capacity adjective assigned,Not yet ingested,Not yet ingested,No measurable target identified because strategy has not yet been ingested,No claim-linked budget identified because strategy has not yet been ingested,Not yet ingested,Not yet evidenced,chair; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,2026-09-20
inst-royal-academy-of-music,Royal Academy of Music,Not yet evidenced,"Conservatoire institution in London, England. Detailed function statement not yet evidenced.",Not yet evidenced,Not yet reconciled — no funding percentage or amount inferred,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet quantified — no capacity adjective assigned,Not yet ingested,Not yet ingested,No measurable target identified because strategy has not yet been ingested,No claim-linked budget identified because strategy has not yet been ingested,Not yet ingested,Not yet evidenced,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,2026-09-20
inst-royal-college-of-music,Royal College of Music,Not yet evidenced,"Conservatoire institution in London, England. Detailed function statement not yet evidenced.",Not yet evidenced,Not yet reconciled — no funding percentage or amount inferred,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet quantified — no capacity adjective assigned,Not yet ingested,Not yet ingested,No measurable target identified because strategy has not yet been ingested,No claim-linked budget identified because strategy has not yet been ingested,Not yet ingested,Not yet evidenced,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,2026-09-20
inst-guildhall-school-of-music-drama,Guildhall School of Music & Drama,Not yet evidenced,"Conservatoire institution in London, England. Detailed function statement not yet evidenced.",Not yet evidenced,Not yet reconciled — no funding percentage or amount inferred,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet quantified — no capacity adjective assigned,Not yet ingested,Not yet ingested,No measurable target identified because strategy has not yet been ingested,No claim-linked budget identified because strategy has not yet been ingested,Not yet ingested,Not yet evidenced,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,2026-09-20
inst-trinity-laban-conservatoire-of-music-and-dance,Trinity Laban Conservatoire of Music and Dance,Not yet evidenced,"Conservatoire institution in London, England. Detailed function statement not yet evidenced.",Not yet evidenced,Not yet reconciled — no funding percentage or amount inferred,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet quantified — no capacity adjective assigned,Not yet ingested,Not yet ingested,No measurable target identified because strategy has not yet been ingested,No claim-linked budget identified because strategy has not yet been ingested,Not yet ingested,Not yet evidenced,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,2026-09-20
inst-royal-birmingham-conservatoire,Royal Birmingham Conservatoire,Not yet evidenced,"Conservatoire institution in Birmingham, England. Detailed function statement not yet evidenced.",Not yet evidenced,Not yet reconciled — no funding percentage or amount inferred,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet quantified — no capacity adjective assigned,Not yet ingested,Not yet ingested,No measurable target identified because strategy has not yet been ingested,No claim-linked budget identified because strategy has not yet been ingested,Not yet ingested,Not yet evidenced,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,2026-09-20
inst-royal-northern-college-of-music,Royal Northern College of Music,Royal Northern College of Music,"Conservatoire institution in Manchester, England. Detailed function statement not yet evidenced.",Not yet evidenced,Office for Students / tuition / grants / earned / philanthropy,Not yet evidenced,Not yet evidenced,Not yet evidenced,Linda Merrick — Principal,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet quantified — no capacity adjective assigned,Not yet ingested,Not yet ingested,No measurable target identified because strategy has not yet been ingested,No claim-linked budget identified because strategy has not yet been ingested,Not yet ingested,Not yet evidenced,chair; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,2026-09-20
inst-royal-welsh-college-of-music-drama,Royal Welsh College of Music & Drama,Royal Welsh College of Music & Drama Ltd,"Conservatoire institution in Cardiff, Wales. Detailed function statement not yet evidenced.",Not yet evidenced,Higher-education public funding / tuition / earned / philanthropy,Not yet evidenced,Not yet evidenced,Not yet evidenced,Helena Gaunt — Principal,Chair: Michael Plaut,Not yet evidenced,Not yet evidenced,Not yet quantified — no capacity adjective assigned,Not yet ingested,Not yet ingested,No measurable target identified because strategy has not yet been ingested,No claim-linked budget identified because strategy has not yet been ingested,Not yet ingested,Not yet evidenced,exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,2026-09-20
inst-royal-conservatoire-of-scotland,Royal Conservatoire of Scotland,Royal Conservatoire of Scotland,"Conservatoire institution in Glasgow, Scotland. Detailed function statement not yet evidenced.",Not yet evidenced,Scottish Funding Council / tuition / earned / philanthropy,Not yet evidenced,Not yet evidenced,Not yet evidenced,Jeffrey Sharkey — Principal,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet quantified — no capacity adjective assigned,Not yet ingested,Not yet ingested,No measurable target identified because strategy has not yet been ingested,No claim-linked budget identified because strategy has not yet been ingested,Not yet ingested,Not yet evidenced,chair; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,2026-09-20
inst-royal-college-of-art,Royal College of Art,Not yet evidenced,"Art and design school institution in London, England. Detailed function statement not yet evidenced.",Not yet evidenced,Not yet reconciled — no funding percentage or amount inferred,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet quantified — no capacity adjective assigned,Not yet ingested,Not yet ingested,No measurable target identified because strategy has not yet been ingested,No claim-linked budget identified because strategy has not yet been ingested,Not yet ingested,Not yet evidenced,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,2026-09-20
inst-university-of-the-arts-london,University of the Arts London,Not yet evidenced,"Art and design university institution in London, England. Detailed function statement not yet evidenced.",Not yet evidenced,Not yet reconciled — no funding percentage or amount inferred,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet quantified — no capacity adjective assigned,Not yet ingested,Not yet ingested,No measurable target identified because strategy has not yet been ingested,No claim-linked budget identified because strategy has not yet been ingested,Not yet ingested,Not yet evidenced,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,2026-09-20
inst-central-saint-martins,Central Saint Martins,Not yet evidenced,"Art and design school institution in London, England. Detailed function statement not yet evidenced.",Not yet evidenced,Not yet reconciled — no funding percentage or amount inferred,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet quantified — no capacity adjective assigned,Not yet ingested,Not yet ingested,No measurable target identified because strategy has not yet been ingested,No claim-linked budget identified because strategy has not yet been ingested,Not yet ingested,Not yet evidenced,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,2026-09-20
inst-glasgow-school-of-art,Glasgow School of Art,The Glasgow School of Art,"Art school institution in Glasgow, Scotland. Detailed function statement not yet evidenced.",Not yet evidenced,Scottish Funding Council / tuition / research / philanthropy,Not yet evidenced,Not yet evidenced,Not yet evidenced,Penny Macbeth — Director,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet quantified — no capacity adjective assigned,Not yet ingested,Not yet ingested,No measurable target identified because strategy has not yet been ingested,No claim-linked budget identified because strategy has not yet been ingested,Not yet ingested,Not yet evidenced,chair; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,2026-09-20
inst-goldsmiths-university-of-london,"Goldsmiths, University of London",Not yet evidenced,"Art / humanities university institution in London, England. Detailed function statement not yet evidenced.",Not yet evidenced,Not yet reconciled — no funding percentage or amount inferred,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet quantified — no capacity adjective assigned,Not yet ingested,Not yet ingested,No measurable target identified because strategy has not yet been ingested,No claim-linked budget identified because strategy has not yet been ingested,Not yet ingested,Not yet evidenced,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,2026-09-20
inst-courtauld-institute-of-art,Courtauld Institute of Art,Not yet evidenced,"Art history / conservation / gallery institution in London, England. Detailed function statement not yet evidenced.",Not yet evidenced,Not yet reconciled — no funding percentage or amount inferred,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet quantified — no capacity adjective assigned,Not yet ingested,Not yet ingested,No measurable target identified because strategy has not yet been ingested,No claim-linked budget identified because strategy has not yet been ingested,Not yet ingested,Not yet evidenced,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,2026-09-20
inst-falmouth-university,Falmouth University,Not yet evidenced,"Creative arts university institution in Falmouth, England. Detailed function statement not yet evidenced.",Not yet evidenced,Not yet reconciled — no funding percentage or amount inferred,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet evidenced,Not yet quantified — no capacity adjective assigned,Not yet ingested,Not yet ingested,No measurable target identified because strategy has not yet been ingested,No claim-linked budget identified because strategy has not yet been ingested,Not yet ingested,Not yet evidenced,legal identity; executive leadership; chair; funding architecture; exact legal power/governing instrument; reconciled audited money-in streams; money-out routes; formal decision authority; artistic/cultural judgement mechanism; complete governing board; appointment routes; scrutiny/accountability powers; quantified capacity evidence; strategy claim extraction; operational commitments; measurable targets; claim-linked budget; outputs; results,Existing C21/C22/C28 source layer where populated; precise C32 locators still required,2026-09-20
